"Hours since thread went live","Odekake Kozame - Episode 48 discussion"
39.25,15
39.333333333333336,17
39.416666666666664,16
39.5,19
39.583333333333336,18
39.666666666666664,17
39.75,16
39.833333333333336,17
39.916666666666664,17
40,19
40.083333333333336,17
40.166666666666664,16
40.25,18
40.333333333333336,16
40.416666666666664,18
40.5,17
40.583333333333336,16
40.666666666666664,17
40.75,17
40.833333333333336,17
40.916666666666664,17
41,19
41.083333333333336,16
41.166666666666664,17
41.25,19
41.333333333333336,15
41.416666666666664,19
41.5,18
41.583333333333336,17
41.666666666666664,17
41.75,17
41.833333333333336,17
41.916666666666664,17
42,18
42.083333333333336,15
42.166666666666664,17
42.25,18
42.333333333333336,18
42.416666666666664,18
42.5,17
42.583333333333336,16
42.666666666666664,17
42.75,16
42.833333333333336,17
42.916666666666664,16
43,18
43.083333333333336,18
43.166666666666664,17
43.25,15
43.333333333333336,17
43.416666666666664,16
43.5,17
43.583333333333336,19
43.666666666666664,18
43.75,17
43.833333333333336,17
43.916666666666664,18
44,17
44.083333333333336,16
44.166666666666664,16
44.25,19
44.333333333333336,16
44.416666666666664,18
44.5,18
44.583333333333336,18
44.666666666666664,17
44.75,15
44.833333333333336,16
44.916666666666664,18
45,16
45.083333333333336,16
45.166666666666664,15
45.25,16
45.333333333333336,19
45.416666666666664,16
45.5,16
45.583333333333336,17
45.666666666666664,15
45.75,18
45.833333333333336,17
45.916666666666664,16
46,16
46.083333333333336,18
46.166666666666664,18
46.25,18
46.333333333333336,19
46.416666666666664,16
46.5,16
46.583333333333336,16
46.666666666666664,17
46.75,18
46.833333333333336,17
46.916666666666664,18
47,17
47.083333333333336,18
47.166666666666664,16
47.25,19
47.333333333333336,18
47.416666666666664,18
47.5,17
47.583333333333336,16
47.666666666666664,17
47.75,18
47.833333333333336,17
47.916666666666664,18
