"Hours since thread went live","Shadowverse Flame: Arc-hen - Episode 5 discussion"
0,1
0,1
0.08333333333333333,1
0.16666666666666666,1
0.25,1
0.3333333333333333,1
0.4166666666666667,2
0.5,2
0.5833333333333334,2
0.6666666666666666,2
0.75,3
0.8333333333333334,3
0.9166666666666666,3
1,3
1.0833333333333333,3
1.1666666666666667,3
1.25,3
1.3333333333333333,3
1.4166666666666667,3
1.5,3
1.5833333333333333,3
1.6666666666666667,3
1.75,3
1.8333333333333333,3
1.9166666666666667,3
2,3
2.0833333333333335,3
2.1666666666666665,3
2.25,3
2.3333333333333335,3
2.4166666666666665,3
2.5,3
2.5833333333333335,3
2.6666666666666665,3
2.75,3
2.8333333333333335,3
2.9166666666666665,3
3,3
3.0833333333333335,3
3.1666666666666665,3
3.25,3
3.3333333333333335,3
3.4166666666666665,3
3.5,3
3.5833333333333335,3
3.6666666666666665,3
3.75,3
3.8333333333333335,3
3.9166666666666665,3
4,3
4.083333333333333,3
4.166666666666667,3
4.25,3
4.333333333333333,3
4.416666666666667,3
4.5,3
4.583333333333333,3
4.666666666666667,3
4.75,3
4.833333333333333,3
4.916666666666667,3
5,3
5.083333333333333,3
5.166666666666667,3
5.25,3
5.333333333333333,3
5.416666666666667,3
5.5,3
5.583333333333333,3
5.666666666666667,3
5.75,3
5.833333333333333,3
5.916666666666667,3
6,3
6.083333333333333,3
6.166666666666667,3
6.25,3
6.333333333333333,3
6.416666666666667,3
6.5,3
6.583333333333333,3
6.666666666666667,3
6.75,3
6.833333333333333,3
6.916666666666667,3
7,3
7.083333333333333,3
7.166666666666667,3
7.25,3
7.333333333333333,3
7.416666666666667,3
7.5,3
7.583333333333333,3
7.666666666666667,3
7.75,3
7.833333333333333,3
7.916666666666667,3
8,3
8.083333333333334,3
8.166666666666666,3
8.25,3
8.333333333333334,3
8.416666666666666,3
8.5,3
8.583333333333334,3
8.666666666666666,3
8.75,3
8.833333333333334,3
8.916666666666666,3
9,3
9.083333333333334,3
9.166666666666666,3
9.25,3
9.333333333333334,3
9.416666666666666,3
9.5,3
9.583333333333334,3
9.666666666666666,3
9.75,3
9.833333333333334,3
9.916666666666666,3
10,3
10.083333333333334,3
10.166666666666666,3
10.25,3
10.333333333333334,3
10.416666666666666,3
10.5,3
10.583333333333334,3
10.666666666666666,3
10.75,3
10.833333333333334,3
10.916666666666666,3
11,3
11.083333333333334,3
11.166666666666666,3
11.25,3
11.333333333333334,3
11.416666666666666,3
11.5,3
11.583333333333334,3
11.666666666666666,3
11.75,3
11.833333333333334,3
11.916666666666666,3
12,3
12.083333333333334,3
12.166666666666666,3
12.25,3
12.333333333333334,3
12.416666666666666,3
12.5,3
12.583333333333334,3
12.666666666666666,3
12.75,3
12.833333333333334,3
12.916666666666666,3
13,3
13.083333333333334,3
13.166666666666666,3
13.25,3
13.333333333333334,3
13.416666666666666,3
13.5,3
13.583333333333334,3
13.666666666666666,3
13.75,3
13.833333333333334,3
13.916666666666666,3
14,3
14.083333333333334,3
14.166666666666666,3
14.25,3
14.333333333333334,3
14.416666666666666,3
14.5,3
14.583333333333334,3
14.666666666666666,3
14.75,3
14.833333333333334,3
14.916666666666666,3
15,3
15.083333333333334,3
15.166666666666666,3
15.25,3
15.333333333333334,3
15.416666666666666,3
15.5,3
15.583333333333334,3
15.666666666666666,3
15.75,3
15.833333333333334,3
15.916666666666666,3
16,3
16.083333333333332,3
16.166666666666668,3
16.25,3
16.333333333333332,3
16.416666666666668,6
16.5,2
16.583333333333332,5
16.666666666666668,4
16.75,3
16.833333333333332,3
16.916666666666668,3
17,4
17.083333333333332,5
17.166666666666668,5
17.25,6
17.333333333333332,3
17.416666666666668,2
17.5,5
17.583333333333332,6
17.666666666666668,4
17.75,6
17.833333333333332,6
17.916666666666668,5
18,3
18.083333333333332,6
18.166666666666668,3
18.25,3
18.333333333333332,4
18.416666666666668,2
18.5,5
18.583333333333332,2
18.666666666666668,4
18.75,4
18.833333333333332,4
18.916666666666668,4
19,4
19.083333333333332,6
19.166666666666668,4
19.25,3
19.333333333333332,6
19.416666666666668,4
19.5,6
19.583333333333332,2
19.666666666666668,3
19.75,2
19.833333333333332,4
19.916666666666668,4
20,4
20.083333333333332,3
20.166666666666668,4
20.25,3
20.333333333333332,3
20.416666666666668,3
20.5,3
20.583333333333332,2
20.666666666666668,5
20.75,3
20.833333333333332,5
20.916666666666668,4
21,6
21.083333333333332,2
21.166666666666668,6
21.25,4
21.333333333333332,4
21.416666666666668,3
21.5,5
21.583333333333332,2
21.666666666666668,4
21.75,4
21.833333333333332,4
22,4
22,6
22.083333333333332,6
22.166666666666668,4
22.25,4
22.333333333333332,2
22.416666666666668,1
22.5,5
22.583333333333332,4
22.666666666666668,1
22.75,2
22.833333333333332,3
22.916666666666668,4
23,3
23.083333333333332,3
23.166666666666668,4
23.25,3
23.333333333333332,5
23.416666666666668,3
23.5,3
23.583333333333332,4
23.666666666666668,1
23.75,3
23.833333333333332,2
23.916666666666668,4
24,1
24.083333333333332,4
24.166666666666668,4
24.25,4
24.333333333333332,5
24.416666666666668,3
24.5,4
24.583333333333332,3
24.666666666666668,5
24.75,2
24.833333333333332,3
24.916666666666668,4
25,3
25.083333333333332,2
25.166666666666668,3
25.25,3
25.333333333333332,4
25.416666666666668,2
25.5,4
25.583333333333332,5
25.666666666666668,1
25.75,2
25.833333333333332,1
25.916666666666668,5
26,1
26.083333333333332,4
26.166666666666668,2
26.25,4
26.333333333333332,4
26.416666666666668,4
26.5,3
26.583333333333332,3
26.666666666666668,4
26.75,4
26.833333333333332,1
26.916666666666668,2
27,4
27.083333333333332,1
27.166666666666668,3
27.25,3
27.333333333333332,4
27.416666666666668,3
27.5,3
27.583333333333332,2
27.666666666666668,1
27.75,3
27.833333333333332,4
27.916666666666668,2
28,3
28.083333333333332,4
28.166666666666668,1
28.25,2
28.333333333333332,2
28.416666666666668,3
28.5,4
28.583333333333332,3
28.666666666666668,3
28.75,1
28.833333333333332,3
28.916666666666668,3
29,1
29.083333333333332,3
29.166666666666668,1
29.25,3
29.333333333333332,1
29.416666666666668,2
29.5,4
29.583333333333332,5
29.666666666666668,5
29.75,2
29.833333333333332,3
29.916666666666668,3
30,3
30.083333333333332,2
30.166666666666668,5
30.25,4
30.333333333333332,2
30.416666666666668,2
30.5,3
30.583333333333332,3
30.666666666666668,3
30.75,2
30.833333333333332,4
30.916666666666668,2
31,4
31.083333333333332,3
31.166666666666668,5
31.25,2
31.333333333333332,3
31.416666666666668,2
31.5,2
31.583333333333332,1
31.666666666666668,2
31.75,2
31.833333333333332,5
31.916666666666668,2
32,5
32.083333333333336,3
32.166666666666664,4
32.25,2
32.333333333333336,2
32.416666666666664,3
32.5,4
32.583333333333336,5
32.666666666666664,1
32.75,4
32.833333333333336,3
32.916666666666664,4
33,2
33.083333333333336,3
33.166666666666664,2
33.25,3
33.333333333333336,3
33.416666666666664,4
33.5,2
33.583333333333336,4
33.666666666666664,2
33.75,2
33.833333333333336,3
33.916666666666664,2
34,2
34.083333333333336,2
34.166666666666664,4
34.25,2
34.333333333333336,2
34.416666666666664,4
34.5,3
34.583333333333336,3
34.666666666666664,3
34.75,4
34.833333333333336,5
34.916666666666664,3
35,3
35.083333333333336,4
35.166666666666664,5
35.25,3
35.333333333333336,3
35.416666666666664,3
35.5,5
35.583333333333336,6
35.666666666666664,2
35.75,4
35.833333333333336,4
35.916666666666664,3
36,4
36.083333333333336,4
36.166666666666664,4
36.25,5
36.333333333333336,3
36.416666666666664,3
36.5,4
36.583333333333336,4
36.666666666666664,4
36.75,3
36.833333333333336,4
36.916666666666664,3
37,4
37.083333333333336,4
37.166666666666664,6
37.25,4
37.333333333333336,3
37.416666666666664,6
37.5,2
37.583333333333336,2
37.666666666666664,5
37.75,2
37.833333333333336,4
37.916666666666664,5
38,3
38.083333333333336,3
38.166666666666664,4
38.25,5
38.333333333333336,5
38.416666666666664,2
38.5,4
38.583333333333336,5
38.666666666666664,3
38.75,6
38.833333333333336,4
38.916666666666664,5
39,7
39.083333333333336,4
